din,brand_name,company_name,active_ingredients,last_update
00015741,TAPAZOLE,KNIGHT THERAPEUTICS INC.,METHIMAZOLE 5 MG,24-DEC-2025
00015229,AVENTYL,AA PHARMA INC,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 10 MG,22-MAR-2025
00015237,AVENTYL,AA PHARMA INC,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 25 MG,22-MAR-2025
00050520,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,MINERAL OIL LIGHT 100 %,22-MAR-2025
00050466,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,METHYLENE BLUE 1 %,22-MAR-2025
00037818,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,SODIUM CHLORIDE 9 MG,22-MAR-2025
00038202,BACTERIOSTATIC WATER FOR INJECTION USP,PFIZER CANADA ULC,WATER 30 ML,22-MAR-2025
00009881,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,PAPAVERINE HYDROCHLORIDE 65 MG,22-MAR-2025
00013609,GRAVOL SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,DIMENHYDRINATE 100 MG,22-MAR-2025
00013617,OVOL DROPS,CHURCH & DWIGHT CANADA CORP,SIMETHICONE 40 MG,22-MAR-2025
00001961,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,LIDOCAINE 5 %,22-MAR-2025
00001694,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,LIDOCAINE HYDROCHLORIDE 20 MG,22-MAR-2025
00038172,QUELICIN,PFIZER CANADA ULC,SUCCINYLCHOLINE CHLORIDE 20 MG,22-MAR-2025
00037834,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,SODIUM CHLORIDE 9 MG,22-MAR-2025
00213071,COSMEGEN,RECORDATI RARE DISEASES CANADA INC,DACTINOMYCIN 0.5 MG,05-DEC-2025
00035017,ALCON ATROPINE,ALCON CANADA INC,ATROPINE SULFATE 1 %,22-MAR-2025
00042676,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,DEXAMETHASONE 0.1 % / NEOMYCIN (NEOMYCIN SULFATE) 3.5 MG / POLYMYXIN B SULFATE 6000 UNIT,22-MAR-2025
00000981,MYDRIACYL,ALCON CANADA INC,TROPICAMIDE 0.5 %,22-MAR-2025
00016055,CUPRIMINE,"BAUSCH HEALTH, CANADA INC.",PENICILLAMINE 250 MG,22-MAR-2025
00021016,TEVA-QUININE,TEVA CANADA LIMITED,QUININE SULFATE 300 MG,22-MAR-2025
00024694,ATARAX,SEARCHLIGHT PHARMA INC,HYDROXYZINE HYDROCHLORIDE 10 MG,31-DEC-2025
00028096,CELESTONE SOLUSPAN,ORGANON CANADA INC.,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE) 3 MG / BETAMETHASONE ACETATE 3 MG,22-MAR-2025
