din,therapeutic_category,brand_name,generic_name,strength,dosage_form,eds_status
02273233,CARDIOVASCULAR,,,5/10 mg,,True
02273284,CARDIOVASCULAR,,,10/10 mg,,True
02273241,CARDIOVASCULAR,,,5/20 mg,,True
02273292,CARDIOVASCULAR,,,10/20 mg,,True
02273268,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,5/40 mg,,True
02273306,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,10/40 mg,,True
02273276,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,5/80 mg,,True
02273314,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,10/80 mg,,True
02411253,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,5/10 mg,,True
02411261,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,5/20 mg,,True
02411288,CARDIOVASCULAR,Caduet amlodipine/atorvastatin Tablet,,5/40 mg,,True
02411296,CARDIOVASCULAR,Apo-Amlodipine/,,5/80 mg,,True
02411318,CARDIOVASCULAR,Atorvastatin,,10/10 mg,,True
02411326,CARDIOVASCULAR,Atorvastatin,,10/20 mg,,True
02411334,CARDIOVASCULAR,Atorvastatin,,10/40 mg,,True
02411342,CARDIOVASCULAR,Atorvastatin,,10/80 mg,,True
02362759,CARDIOVASCULAR,Atorvastatin,,5/10 mg,,True
02362767,CARDIOVASCULAR,Atorvastatin,,5/20 mg,,True
02362775,CARDIOVASCULAR,Atorvastatin,,5/40 mg,,True
02362783,CARDIOVASCULAR,Mylan-Amlodipine/,,5/80 mg,,True
02362791,CARDIOVASCULAR,Atorvastatin,,10/10 mg,,True
02362805,CARDIOVASCULAR,Atorvastatin,,10/20 mg,,True
02362813,CARDIOVASCULAR,Atorvastatin,,10/40 mg,,True
02362821,CARDIOVASCULAR,Atorvastatin,,10/80 mg,,True
02446928,CARDIOVASCULAR,Atorvastatin,,24 mg,,True
02446936,CARDIOVASCULAR,Entresto sacubitril/valsartan,,49 mg,Tablet,True
02446944,CARDIOVASCULAR,Entresto sacubitril/valsartan,,97 mg,Tablet,True
02564432,CARDIOVASCULAR,Entresto sacubitril/valsartan,,24 mg,Tablet,True
02564440,CARDIOVASCULAR,sacubitril/valsartan,,49 mg,Tablet,True
02564459,CARDIOVASCULAR,Valsartan,,97 mg,Tablet,True
02549018,CARDIOVASCULAR,Valsartan,,24 mg,Tablet,True
02549026,CARDIOVASCULAR,sacubitril/valsartan,,49 mg,Tablet,True
02549034,CARDIOVASCULAR,Valsartan,,97 mg,Tablet,True
02459973,CARDIOVASCULAR,antagonist,if tolerable,5 mg,Tablet,True
02459981,CARDIOVASCULAR,Lancora ivabradine hydrochloride Tablet,if tolerable,7.5 mg,Tablet,True
02531917,CARDIOVASCULAR,Lancora ivabradine hydrochloride Tablet,if tolerable,10mg,Tablet,True
02531925,CARDIOVASCULAR,Kerendia finerenone Tablet,if tolerable,20mg,Tablet,True
02459779,CARDIOVASCULAR,Kerendia finerenone Tablet,if tolerable,120 mg,Tablet,True
02446057,CARDIOVASCULAR,Repatha evolocumab Injection,if tolerable,140 mg,Tablet,True
02495244,CARDIOVASCULAR,Vascepa icosapent ethyl,if tolerable,1 G,Capsule,True
02242115,AUTONOMIC DRUGS,Vascepa icosapent ethyl,if tolerable,1.5 mg,Capsule,True
02242116,AUTONOMIC DRUGS,Vascepa icosapent ethyl,if tolerable,3 mg,Capsule,True
02242117,AUTONOMIC DRUGS,Exelon rivastigmine Capsule,if tolerable,4.5 mg,Capsule,True
02242118,AUTONOMIC DRUGS,Exelon rivastigmine Capsule,if tolerable,6 mg,Capsule,True
02245240,AUTONOMIC DRUGS,Exelon rivastigmine,if tolerable,2 mg,Liquid,True
02336715,AUTONOMIC DRUGS,Exelon rivastigmine,if tolerable,1.5 mg,Liquid,True
02336723,AUTONOMIC DRUGS,Exelon rivastigmine,if tolerable,3 mg,Liquid,True
02336731,AUTONOMIC DRUGS,Apo-Rivastigmine rivastigmine Capsule,if tolerable,4.5 mg,Liquid,True
02336758,AUTONOMIC DRUGS,Apo-Rivastigmine rivastigmine Capsule,if tolerable,6 mg,Liquid,True
02485362,AUTONOMIC DRUGS,Apo-Rivastigmine rivastigmine Capsule,if tolerable,1.5 mg,Liquid,True
02485370,AUTONOMIC DRUGS,Apo-Rivastigmine rivastigmine Capsule,if tolerable,3 mg,Liquid,True
02485389,AUTONOMIC DRUGS,Jamp-Rivastigmine rivastigmine Capsule,if tolerable,4.5 mg,Liquid,True
02485397,AUTONOMIC DRUGS,Jamp-Rivastigmine rivastigmine Capsule,if tolerable,6 mg,Liquid,True
02552256,AUTONOMIC DRUGS,Jamp-Rivastigmine rivastigmine Capsule,if tolerable,1.5 mg,Liquid,True
02552264,AUTONOMIC DRUGS,Jamp Rivastigmine,if tolerable,3 mg,Liquid,True
02552272,AUTONOMIC DRUGS,s,if tolerable,4.5 mg,Capsule,True
02552280,AUTONOMIC DRUGS,s,if tolerable,6 mg,Capsule,True
02401614,AUTONOMIC DRUGS,s,if tolerable,1.5 mg,Capsule,True
02401622,AUTONOMIC DRUGS,s,if tolerable,3 mg,Capsule,True
02401630,AUTONOMIC DRUGS,Med-Rivastigmine rivastigmine Capsule,if tolerable,4.5 mg,Capsule,True
02401649,AUTONOMIC DRUGS,Med-Rivastigmine rivastigmine Capsule,if tolerable,6 mg,Capsule,True
02324563,AUTONOMIC DRUGS,Med-Rivastigmine rivastigmine Capsule,if tolerable,1.5 mg,Capsule,True
02324571,AUTONOMIC DRUGS,Med-Rivastigmine rivastigmine Capsule,if tolerable,3 mg,Capsule,True
02324598,AUTONOMIC DRUGS,Sandoz Rivastigmine rivastigmine Capsule,if tolerable,4.5 mg,Capsule,True
02324601,AUTONOMIC DRUGS,Sandoz Rivastigmine rivastigmine Capsule,if tolerable,6 mg,Capsule,True
02518058,AUTONOMIC DRUGS,Breztri Aerosphere 160/,if tolerable,7.2/5.0 mcg,Capsule,True
02501244,AUTONOMIC DRUGS,Enerzair Breezhaler 50/,if tolerable,150/160 mcg,Capsule,True
02474522,AUTONOMIC DRUGS,Trelegy Ellipta,if tolerable,150/160 mcg,Capsule,True
02532247,BLOOD FORMING AND COAGULATION,Trelegy Ellipta,if tolerable,30 mg,Capsule,True
02532255,BLOOD FORMING AND COAGULATION,Trelegy Ellipta,if tolerable,40 mg,Capsule,True
02532263,BLOOD FORMING AND COAGULATION,Elonox enoxaparin sodium,if tolerable,60 mg,Injection,True
02533271,BLOOD FORMING AND COAGULATION,Elonox enoxaparin sodium,if tolerable,80 mg,Injection,True
02532298,BLOOD FORMING AND COAGULATION,Elonox enoxaparin sodium,if tolerable,100 mg,Injection,True
02532301,BLOOD FORMING AND COAGULATION,Elonox enoxaparin sodium,if tolerable,120 mg,Injection,True
02532328,BLOOD FORMING AND COAGULATION,Elonox HP enoxaparin sodium Injection,if tolerable,150 mg,Injection,True
02507501,BLOOD FORMING AND COAGULATION,Elonox HP enoxaparin sodium Injection,if tolerable,30 mg,Injection,True
02507528,BLOOD FORMING AND COAGULATION,Elonox HP enoxaparin sodium Injection,if tolerable,40 mg,Injection,True
