din,drug_name,strength,dosage_form,product_name,manufacturer_code,price,interchangeable_group,formulary_status
02396769,ABACAVIR,300 mg,Tablets,Apo-Abacavir,APX,3.4828,group_0001,interchangeable
02480956,ABACAVIR,300 mg,Tablets,Mint-Abacavir,MPH,3.4828,group_0001,interchangeable
02269341,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,Kivexa,VII,28.3100,group_0002,interchangeable
02416662,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,Teva-Abacavir/Lamivudine,TEV,5.9877,group_0002,interchangeable
02399539,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,Apo-Abacavir/Lamivudine,APX,5.9875,group_0002,interchangeable
02454513,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,Auro-Abacavir/Lamivudine,AUP,5.9875,group_0002,interchangeable
02497654,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,Jamp Abacavir/Lamivudine,JPC,5.9875,group_0002,interchangeable
02450682,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,Mylan-Abacavir/Lamivudine,MYL,5.9875,group_0002,interchangeable
02458381,ABACAVIR/LAMIVUDINE,600/300 mg,Tablets,pms-Abacavir/Lamivudine,PMS,5.9875,group_0002,interchangeable
02371065,ABIRATERONE ACETATE,250 mg,Tablets,Zytiga,JAN,34.1977,group_0003,interchangeable
02491397,ABIRATERONE ACETATE,250 mg,Tablets,Apo-Abiraterone,APX,7.6563,group_0003,interchangeable
02502305,ABIRATERONE ACETATE,250 mg,Tablets,Jamp Abiraterone,JPC,7.6563,group_0003,interchangeable
02503980,ABIRATERONE ACETATE,250 mg,Tablets,Mar-Abiraterone,MAR,7.6563,group_0003,interchangeable
02494132,ABIRATERONE ACETATE,250 mg,Tablets,NAT-Abiraterone,NAT,7.6563,group_0003,interchangeable
02492601,ABIRATERONE ACETATE,250 mg,Tablets,pms-Abiraterone,PMS,7.6563,group_0003,interchangeable
02540452,ABIRATERONE ACETATE,250 mg,Tablets,PRZ-Abiraterone,PRZ,7.6563,group_0003,interchangeable
02477114,ABIRATERONE ACETATE,250 mg,Tablets,Reddy-Abiraterone,DRL,7.6563,group_0003,interchangeable
02486393,ABIRATERONE ACETATE,250 mg,Tablets,Sandoz Abiraterone,SDZ,7.6563,group_0003,interchangeable
02457113,ABIRATERONE ACETATE,500 mg,Tablets,Zytiga,JAN,68.3955,group_0004,interchangeable
02525380,ABIRATERONE ACETATE,500 mg,Tablets,Abiraterone,JPC,15.3125,group_0004,interchangeable
02491400,ABIRATERONE ACETATE,500 mg,Tablets,Apo-Abiraterone,APX,15.3125,group_0004,interchangeable
02529629,ABIRATERONE ACETATE,500 mg,Tablets,Jamp Abiraterone,JPC,15.3125,group_0004,interchangeable
02503999,ABIRATERONE ACETATE,500 mg,Tablets,Mar-Abiraterone,MAR,15.3125,group_0004,interchangeable
02501503,ABIRATERONE ACETATE,500 mg,Tablets,pms-Abiraterone,PMS,15.3125,group_0004,interchangeable
02540460,ABIRATERONE ACETATE,500 mg,Tablets,PRZ-Abiraterone,PRZ,15.3125,group_0004,interchangeable
02533251,ABIRATERONE ACETATE,500 mg,Tablets,Reddy-Abiraterone,DRL,15.3125,group_0004,interchangeable
02521644,ABIRATERONE ACETATE,500 mg,Tablets,Sandoz Abiraterone,SDZ,15.3125,group_0004,interchangeable
02147602,ACEBUTOLOL,100 mg,Tablets,Apo-Acebutolol,APX,0.1871,group_0005,interchangeable
02204517,ACEBUTOLOL,100 mg,Tablets,Teva-Acebutolol,TEV,0.1871,group_0005,interchangeable
02147610,ACEBUTOLOL,200 mg,Tablets,Apo-Acebutolol,APX,0.2808,group_0006,interchangeable
02204525,ACEBUTOLOL,200 mg,Tablets,Teva-Acebutolol,TEV,0.2808,group_0006,interchangeable
02147629,ACEBUTOLOL,400 mg,Tablets,Apo-Acebutolol,APX,0.5348,group_0007,interchangeable
02204533,ACEBUTOLOL,400 mg,Tablets,Teva-Acebutolol,TEV,0.5348,group_0007,interchangeable
02207621,ACYCLOVIR,200 mg,Tablets,Apo-Acyclovir,APX,0.3511,group_0008,interchangeable
